pert_id,pert_iname
brd-k17026858,pibenzimol
brd-k17075857,chloroxine
brd-a17411484,carprofen
brd-a17462676,bambuterol
brd-k17068645,bendamustine
brd-k17203476,ly-2874455
brd-k17498618,atracurium
brd-k17500877,bropirimine
brd-k17561142,amiodarone
brd-k17705806,jtc-801
brd-k17513304,firategrast
brd-k17555800,talmapimod
brd-a17655518,ibuprofen
brd-k17849083,tranilast
brd-k17894950,indirubin
brd-k17944737,artesunate
brd-a18043272,phensuximide
brd-k17930269,retapamulin
brd-k17953908,ly-2886721
brd-k18194590,mephentermine
brd-k18673820,folic-acid
brd-k18157228,fdcyd
brd-k18324993,budipine
brd-a18620900,estriol
brd-k18678457,zd-7288
brd-k31111078,dimethyl-fumarate
brd-a31159102,fluoxetine
brd-k23499943,alvespimycin
brd-k31135544,ib-meca
brd-k31309378,lucitanib
brd-k31385749,ivabradine
brd-a31521121,methocarbamol
brd-k31731454,pemirolast
brd-k31812033,levobunolol
brd-k31627533,rimexolone
brd-a31811760,miltefosine
brd-k31841515,oxypurinol
brd-k32101625,lx-1031
brd-k32247306,primidone
brd-k32285926,amg-208
brd-k32405725,etomoxir
brd-k32744045,disulfiram
brd-a32269193,vgx-1027
brd-k32501161,vanoxerine
brd-k32821942,azathioprine
brd-k33141550,l-name
brd-k33211335,dextromethorphan
brd-a33447119,oxfendazole
brd-a33168282,sotalol
brd-k33226500,indinavir
brd-k33453211,levocabastine
brd-a33711280,metixene
brd-k33852358,arofylline
brd-a34006693,suprofen
brd-k34022604,clofarabine
brd-k33732501,methylnaltrexone
brd-k33882852,zk-93423
brd-k34154330,tracazolate
brd-k96550715,linagliptin
brd-a34513497,lacitol
brd-k34776109,glimepiride
brd-k34341643,glasdegib
brd-k34469523,levalbuterol
brd-k34713073,pd-123319
brd-k34870043,adoprazine
brd-k35245662,ciclesonide
brd-k35586044,yohimbine
brd-k35629949,sr-27897
brd-k35719256,rotundine
brd-k35520305,dacarbazine
brd-k35589454,danegaptide
brd-k35687421,gimeracil
brd-k35775715,liranaftate
brd-a36331462,oprozomib
brd-k36467523,bindarit
brd-k36680103,omecamtiv-mecarbil
brd-k36280065,tofacitinib
brd-k36386086,dolutegravir
brd-k36627727,tamibarotene
brd-k36732695,setiptiline
brd-a18611368,tazobactam
brd-k18779551,bifemelane
brd-a19195498,trimipramine
brd-k53097745,pterostilbene
brd-k18850819,mk-0752
brd-k19284129,salvinorin-a
brd-k19352500,prochlorperazine
brd-a19661776,mianserin
brd-a19736161,ondansetron
brd-k19388745,colforsin-daproate
brd-a19633847,perhexiline
brd-a20119038,mecamylamine
brd-k20141153,atomoxetine
brd-k21361524,selinexor
brd-k21450440,benzthiazide
brd-a20126139,medrysone
brd-k21396683,marimastat
brd-k21295289,senicapoc
brd-k21908111,azd-1208
brd-k22031190,diflunisal
brd-a02006392,nitrendipine
brd-a22032524,amlodipine
brd-k22848513,bardoxolone-methyl
brd-k22822991,odanacatib
brd-k22749967,abt-239
brd-k23672206,bci-540
brd-k23728141,tafamidis-meglumine
brd-k23363278,cyt-997
brd-a22769835,homochlorcyclizine
brd-k23677682,voreloxin
brd-k24844714,fluorouracil
brd-k24616672,procaine
brd-k19939891,tic10
brd-k24723746,solifenacin-succinate
brd-k20920669,cromoglicic-acid
brd-k22134346,simvastatin
brd-k23976833,travoprost
brd-k23248433,camicinal
brd-k24968862,sb-683698
brd-k25630527,ly-2784544
brd-a24228527,ofloxacin
brd-k24943235,grazoprevir
brd-a25619068,fadrozole
brd-k25433859,maprotiline
brd-a26384407,chlorthalidone
brd-a26503646,formestane
brd-k27184429,levocetirizine
brd-k26341917,l-ergothioneine
brd-a26423207,sparfloxacin
brd-k27182532,metatinib
brd-k27204852,balicatib
brd-k07881437,danusertib
brd-a07986123,galeterone
brd-k07954936,2-iminobiotin
brd-k08037784,arbutin
brd-a08187463,racecadotril
brd-k08206212,entecavir
brd-k08252256,diclofenac
brd-k08547377,irinotecan
brd-k08248804,lcl-161
brd-a08545410,doxycycline
brd-k08586861,ramatroban
brd-k08703257,3-amino-benzamide
brd-k08859203,du-728
brd-k08924299,palonosetron
brd-k09078998,deforolimus
brd-k08832567,naringenin
brd-k08976401,azelaic-acid
brd-k09090949,cp-945598
brd-a09349126,norethindrone
brd-k09426783,tas-103
brd-k09255212,clioquinol
brd-k09372874,merimepodib
brd-k09397065,sr-57227a
brd-k09471561,levofloxacin
brd-a09472452,flecainide
brd-k09549677,mibefradil
brd-k09711437,varespladib
brd-a09533288,verapamil
brd-k09602097,forskolin
brd-a10012892,argatroban
brd-a10039652,tipranavir
brd-k10843433,phenylbutazone
brd-k10852020,tolcapone
brd-a10070317,propranolol
brd-k10670311,sulfasalazine
brd-k10845183,tiludronate
brd-k10859802,apd-668
brd-a10903566,imiloxan
brd-a10967948,granisetron
brd-k11071038,ici-162846
brd-k11129031,gemfibrozil
brd-k10961822,latanoprost
brd-a10977446,carvedilol
brd-k11073688,cpi-1189
brd-k11196887,norfloxacin
brd-a11319535,beclomethasone-dipropionate
brd-k11433652,aspirin
brd-k11399644,phenformin
brd-k11717138,benzbromarone
brd-k18895904,olanzapine
brd-k18922609,neostigmine
brd-k19061412,mubritinib
brd-a18917088,estradiol
brd-k18961567,ly-2801653
brd-k19085898,darapladib
brd-k19412355,sb-242235
brd-k19438463,cnqx
brd-k19462402,buflomedil
brd-k19416115,sitagliptin
brd-k19456237,piracetam
brd-k19601669,s-ruxolitinib
brd-k19741547,vernakalant
brd-a19795905,atovaquone
brd-a19952358,closantel
brd-k20008181,lcq-908
brd-k19761926,eplerenone
brd-k20001883,apabetalone
brd-k20079257,rufinamide
brd-k20722021,cep-32496
brd-k20745393,olprinone
brd-k21071223,vp-20629
brd-k20738689,dazmegrel
brd-k20897876,castanospermine
brd-k20958582,th-302
brd-k21283037,riluzole
brd-k21547160,sufentanil
brd-a21607826,medetomidine
brd-a21858158,praziquantel
brd-k21548250,moracizine
brd-k21670884,cariporide
brd-k21884483,mizolastine
brd-a22081593,sulmazole
brd-a22380646,pantoprazole
brd-a22642447,licarbazepine
brd-k22097830,oco-1112
brd-a22305049,benfluorex
brd-k22482860,dalfampridine
brd-k22662435,ganciclovir
brd-k22861715,chrysin
brd-k22969690,chloramphenicol
brd-k23082237,butaclamol
brd-k23204545,busulfan
brd-k22936972,diphenylpyraline
brd-a23067620,itraconazole
brd-k23190681,av-412
brd-k23228615,gdc-0980
brd-a24191444,ifenprodil
brd-a02710418,meptazinol
brd-a24560335,efatutazone
brd-k24219278,amineptine
brd-a24514565,warfarin
brd-k24576554,at-9283
